Player,Team,Player & Team,Pos,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Tyson Chandler,PHO,Tyson Chandler PHO,C,35,46,46,25,2.6,4.1,0.647,0,0,,2.6,4.1,0.647,0.647,1.3,2,0.624,2.9,6.2,9.1,1.2,0.3,0.6,1.3,2.3,6.5
Wilson Chandler,DEN,Wilson Chandler DEN,SF,30,74,71,31.7,3.8,8.5,0.445,1.2,3.3,0.358,2.6,5.2,0.501,0.515,1.2,1.5,0.772,1.4,4,5.4,2.1,0.6,0.5,1.2,2.1,10
Marquese Chriss,PHO,Marquese Chriss PHO,PF,20,72,49,21.2,2.8,6.6,0.423,0.8,2.6,0.295,2,4,0.509,0.482,1.3,2.2,0.608,1.1,4.4,5.5,1.2,0.7,1,1.5,2.8,7.7
Ian Clark,NOP,Ian Clark NOP,SG,26,74,2,19.7,3,6.7,0.448,0.8,2.6,0.318,2.2,4.1,0.533,0.511,0.6,0.8,0.763,0.1,1.6,1.7,1.5,0.4,0.1,0.8,1.6,7.4
Jordan Clarkson,TOT,Jordan Clarkson TOT,SG,25,81,2,23.3,5.3,11.8,0.451,1.4,3.9,0.352,3.9,7.9,0.5,0.509,1.9,2.3,0.8,0.7,2,2.7,2.7,0.7,0.1,1.6,1.3,13.9
Tim Quarterman,HOU,Tim Quarterman HOU,SG,23,3,0,4.3,0.3,1,0.333,0,0.7,0,0.3,0.3,1,0.333,0.7,0.7,1,0,1,1,0.3,0,0,0.7,0.3,1.3
Jordan Clarkson,CLE,Jordan Clarkson CLE,SG,25,28,0,22.6,4.7,10.3,0.456,1.6,3.9,0.407,3.1,6.4,0.486,0.533,1.7,2.1,0.81,0.5,1.6,2.1,1.7,0.7,0.1,1.1,1.6,12.6
Gian Clavell,DAL,Gian Clavell DAL,SG,24,7,0,9.1,0.9,2.6,0.333,0.9,2.1,0.4,0,0.4,0,0.5,0.3,0.3,1,0.1,0.9,1,0.4,0.3,0,0.3,1.1,2.9
Antonius Cleveland,TOT,Antonius Cleveland TOT,SG,23,17,0,7.2,0.5,1.2,0.381,0.2,0.2,0.75,0.3,1,0.294,0.452,0.2,0.4,0.667,0.2,0.6,0.8,0.1,0.4,0.3,0.4,1.4,1.4
Antonius Cleveland,DAL,Antonius Cleveland DAL,SG,23,13,0,6.2,0.3,1.1,0.286,0,0.1,0,0.3,1,0.308,0.286,0.2,0.3,0.5,0.2,0.6,0.8,0.2,0.5,0.3,0.2,0.8,0.8
Antonius Cleveland,ATL,Antonius Cleveland ATL,SG,23,4,0,10.5,1,1.8,0.571,0.8,0.8,1,0.3,1,0.25,0.786,0.5,0.5,1,0.3,0.8,1,0,0.3,0.3,1.3,3,3.3
John Collins,ATL,John Collins ATL,PF,20,74,26,24.1,4.2,7.4,0.576,0.2,0.6,0.34,4,6.7,0.598,0.591,1.8,2.5,0.715,2.4,4.9,7.3,1.3,0.6,1.1,1.4,2.9,10.5
Zach Collins,POR,Zach Collins POR,C,20,66,1,15.8,1.7,4.4,0.398,0.5,1.7,0.31,1.2,2.7,0.455,0.458,0.4,0.6,0.643,0.7,2.7,3.3,0.8,0.3,0.5,0.9,2,4.4
Kyle Collinsworth,DAL,Kyle Collinsworth DAL,SF,26,32,2,15,1.2,3.1,0.384,0.1,0.5,0.235,1.1,2.6,0.415,0.404,0.7,1.3,0.525,1,2.3,3.3,1.8,0.5,0.3,0.8,1.4,3.2
Darren Collison,IND,Darren Collison IND,PG,30,69,64,29.2,4.6,9.2,0.495,1.4,3,0.468,3.2,6.3,0.508,0.571,1.8,2.1,0.882,0.5,2,2.6,5.3,1.3,0.2,1.2,1.8,12.4
Nick Collison,OKC,Nick Collison OKC,PF,37,15,0,5,0.9,1.3,0.684,0,0,,0.9,1.3,0.684,0.684,0.3,0.9,0.385,0.5,0.9,1.3,0.3,0,0,0.5,0.5,2.1
Mike Conley,MEM,Mike Conley MEM,PG,30,12,12,31.1,5.3,14,0.381,2,6.4,0.312,3.3,7.6,0.44,0.452,4.4,5.5,0.803,0,2.3,2.3,4.1,1,0.3,1.5,2,17.1
Pat Connaughton,POR,Pat Connaughton POR,SG,25,82,5,18.1,2,4.8,0.423,0.9,2.6,0.352,1.1,2.2,0.506,0.518,0.5,0.5,0.841,0.4,1.5,2,1.1,0.3,0.3,0.5,1.5,5.4
Willie Reed,DET,Willie Reed DET,C,27,3,0,3,0.3,0.3,1,0,0,,0.3,0.3,1,1,0,0,,0,0.3,0.3,0.3,0,0,0,1,0.7
David Stockton,UTA,David Stockton UTA,PG,26,3,0,3,0.7,1,0.667,0.7,1,0.667,0,0,,1,1.3,1.3,1,0,0,0,0,0,0,0.3,1,3.3
Marquis Teague,MEM,Marquis Teague MEM,PG,24,3,0,24.7,1.3,5.3,0.25,0.3,1.3,0.25,1,4,0.25,0.281,0.7,1.7,0.4,0.3,1.7,2,4.3,1.3,0,1,1.7,3.7
Markel Brown,HOU,Markel Brown HOU,SG,26,4,0,7.8,0.5,1.8,0.286,0.3,1.3,0.2,0.3,0.5,0.5,0.357,0,0,,0.3,1,1.3,0.5,0,0,0.5,1.5,1.3
DeMarcus Cousins,NOP,DeMarcus Cousins NOP,C,27,48,48,36.2,8.5,18,0.47,2.2,6.1,0.354,6.3,11.9,0.53,0.53,6.1,8.2,0.746,2.2,10.7,12.9,5.4,1.6,1.6,5,3.8,25.2
Robert Covington,PHI,Robert Covington PHI,SF,27,80,80,31.7,4.3,10.5,0.413,2.5,6.9,0.369,1.8,3.6,0.497,0.534,1.5,1.7,0.853,0.7,4.7,5.4,2,1.7,0.9,1.6,3,12.6
Allen Crabbe,BRK,Allen Crabbe BRK,SG,25,75,68,29.3,4.5,11,0.407,2.7,7.1,0.378,1.8,3.9,0.461,0.529,1.5,1.8,0.852,0.4,3.9,4.3,1.6,0.6,0.5,1,2.2,13.2
Matt Costello,SAS,Matt Costello SAS,C,24,4,0,8,0.5,1,0.5,0,0,,0.5,1,0.5,0.5,0,0,,0.3,2,2.3,0.5,0.5,0.5,0.3,1.8,1
Jamal Crawford,MIN,Jamal Crawford MIN,SG,37,80,0,20.7,3.9,9.3,0.415,1.3,3.9,0.331,2.6,5.4,0.477,0.485,1.3,1.4,0.903,0.3,1,1.2,2.3,0.5,0.1,1.2,1.1,10.3
Jordan Crawford,NOP,Jordan Crawford NOP,SG,29,5,0,10.6,2.4,5.4,0.444,1.6,2.8,0.571,0.8,2.6,0.308,0.593,0.2,0.2,1,0.4,0.4,0.8,2.6,0.2,0.2,1,1.4,6.6
Jae Crowder,TOT,Jae Crowder TOT,SF,27,80,47,26.1,3.4,8.4,0.404,1.4,4.3,0.323,2,4.1,0.488,0.486,1.5,1.9,0.818,0.7,2.7,3.4,1.2,0.8,0.3,0.9,2.3,9.7
Jonathan Gibson,BOS,Jonathan Gibson BOS,PG,30,4,0,10,3.5,5.8,0.609,1.5,3,0.5,2,2.8,0.727,0.739,0,0,,0,0.8,0.8,1,0,0,0.8,1.3,8.5
Jae Crowder,UTA,Jae Crowder UTA,SF,27,27,0,27.6,4.2,10.9,0.386,1.8,5.6,0.316,2.4,5.3,0.462,0.468,1.6,2.1,0.768,0.7,3.1,3.8,1.5,0.9,0.3,1.2,2.3,11.8
Dante Cunningham,TOT,Dante Cunningham TOT,SF,30,73,25,21.4,2.2,5,0.451,0.8,2.3,0.345,1.5,2.7,0.541,0.53,0.4,0.7,0.596,1.1,3,4.1,0.7,0.5,0.4,0.5,1.5,5.7
Mike James,NOP,Mike James NOP,PG,27,4,0,4.5,0.5,2.3,0.222,0,0.3,0,0.5,2,0.25,0.222,0,0,,0.3,0,0.3,1.5,0.3,0,0.3,0.8,1
Dante Cunningham,BRK,Dante Cunningham BRK,SF,30,22,1,20.3,3,6.3,0.468,1,2.7,0.383,1.9,3.6,0.532,0.55,0.5,0.7,0.688,1.3,3.5,4.8,1,0.5,0.6,0.8,1.6,7.5
Stephen Curry,GSW,Stephen Curry GSW,PG,29,51,51,32,8.4,16.9,0.495,4.2,9.8,0.423,4.2,7.1,0.595,0.618,5.5,5.9,0.921,0.7,4.4,5.1,6.1,1.6,0.2,3,2.2,26.4
Troy Daniels,PHO,Troy Daniels PHO,SG,26,79,15,20.5,2.9,7.3,0.403,2.3,5.8,0.4,0.6,1.5,0.419,0.563,0.7,0.8,0.875,0.2,1.5,1.6,0.6,0.3,0.1,0.7,1.7,8.9
Anthony Davis,NOP,Anthony Davis NOP,PF,24,75,75,36.4,10.4,19.5,0.534,0.7,2.2,0.34,9.7,17.3,0.558,0.552,6.6,8,0.828,2.5,8.6,11.1,2.3,1.5,2.6,2.2,2.1,28.1
Deyonta Davis,MEM,Deyonta Davis MEM,C,21,62,6,15.2,2.6,4.3,0.608,0,0,,2.6,4.3,0.608,0.608,0.6,0.9,0.667,1.2,2.8,4,0.6,0.2,0.6,0.5,2,5.8
Ed Davis,POR,Ed Davis POR,C,28,78,0,18.9,2.2,3.7,0.582,0,0,0,2.2,3.7,0.584,0.582,0.9,1.4,0.667,2.3,5,7.4,0.5,0.4,0.7,0.8,2.4,5.3
Dewayne Dedmon,ATL,Dewayne Dedmon ATL,C,28,62,46,24.9,4,7.7,0.524,0.8,2.3,0.355,3.2,5.4,0.595,0.577,1.1,1.4,0.779,1.6,6.3,7.9,1.5,0.6,0.8,1.4,2.6,10
Sam Dekker,LAC,Sam Dekker LAC,PF,23,73,1,12.1,1.8,3.5,0.494,0.1,0.8,0.167,1.6,2.7,0.593,0.514,0.5,0.8,0.661,0.6,1.8,2.4,0.5,0.3,0.1,0.5,1,4.2
Malcolm Delaney,ATL,Malcolm Delaney ATL,PG,28,54,3,18.8,2,5.3,0.382,0.9,2.3,0.371,1.2,3,0.391,0.463,1.4,1.7,0.804,0.2,1.7,1.9,3,0.6,0.1,1.2,1.5,6.3
Matthew Dellavedova,MIL,Matthew Dellavedova MIL,PG,27,38,3,18.7,1.4,4,0.362,0.8,2.1,0.372,0.7,1.9,0.351,0.457,0.7,0.7,0.926,0.4,1.3,1.7,3.8,0.4,0,1.3,1.8,4.3
Luol Deng,LAL,Luol Deng LAL,SF,32,1,1,13,1,2,0.5,0,0,,1,2,0.5,0.5,0,0,,0,0,0,1,1,0,1,0,2
DeMar DeRozan,TOR,DeMar DeRozan TOR,SG,28,80,80,33.9,8.1,17.7,0.456,1.1,3.6,0.31,7,14.1,0.494,0.488,5.8,7,0.825,0.7,3.2,3.9,5.2,1.1,0.3,2.2,1.9,23
Cheick Diallo,NOP,Cheick Diallo NOP,PF,21,52,0,11.2,2,3.4,0.58,0,0,,2,3.4,0.58,0.58,1,1.3,0.758,0.9,3.2,4.1,0.4,0.2,0.4,0.5,1.6,4.9
Gorgui Dieng,MIN,Gorgui Dieng MIN,C,28,79,0,16.9,2.4,4.9,0.479,0.2,0.8,0.311,2.1,4.1,0.511,0.504,1,1.3,0.775,1.3,3.2,4.6,0.9,0.6,0.5,0.7,1.9,5.9
Spencer Dinwiddie,BRK,Spencer Dinwiddie BRK,PG,24,80,58,28.8,4.1,10.5,0.387,1.8,5.4,0.326,2.3,5.1,0.452,0.471,2.7,3.4,0.813,0.5,2.7,3.2,6.6,0.9,0.3,1.6,2.3,12.6
Tyler Dorsey,ATL,Tyler Dorsey ATL,SG,21,56,5,17.4,2.6,6.8,0.377,1.3,3.6,0.362,1.3,3.3,0.393,0.471,0.8,1.1,0.714,0.3,2,2.3,1.4,0.3,0.1,0.7,1.1,7.2
Damyean Dotson,NYK,Damyean Dotson NYK,SG,23,44,2,10.8,1.6,3.7,0.447,0.5,1.5,0.324,1.1,2.1,0.538,0.516,0.4,0.5,0.696,0.2,1.7,1.9,0.7,0.3,0,0.4,0.8,4.1
Omari Johnson,MEM,Omari Johnson MEM,PF,28,4,0,18.8,2.3,5.3,0.429,1,3,0.333,1.3,2.3,0.556,0.524,0,0,,1,1.8,2.8,1.8,0.5,0,0.8,1.5,5.5
Jalen Jones,NOP,Jalen Jones NOP,SF,24,4,0,4.8,0.3,1,0.25,0.3,0.3,1,0,0.8,0,0.375,0.5,0.5,1,0,0.8,0.8,0,0,0,0,0.5,1.3
Goran Dragi?,MIA,Goran Dragi? MIA,PG,31,75,75,31.7,6.5,14.3,0.45,1.5,4,0.37,5,10.3,0.481,0.502,2.9,3.6,0.801,0.7,3.4,4.1,4.8,0.8,0.2,2.2,2.4,17.3
Larry Drew,TOT,Larry Drew TOT,PG,27,10,0,7,0.7,2.4,0.292,0.3,0.9,0.333,0.4,1.5,0.267,0.354,0,0,,0.3,0,0.3,1,0,0,0.3,0.6,1.7
Mangok Mathiang,CHO,Mangok Mathiang CHO,C,25,4,0,5,1,1.8,0.571,0,0,,1,1.8,0.571,0.571,0,0.3,0,0.8,1.8,2.5,0,0.3,0,0,1.3,2
Larry Drew,NOP,Larry Drew NOP,PG,27,7,0,7.9,0.9,2.4,0.353,0.4,0.9,0.5,0.4,1.6,0.273,0.441,0,0,,0.3,0,0.3,1.1,0,0,0.3,0.6,2.1
Andre Drummond,DET,Andre Drummond DET,C,24,78,78,33.7,6,11.3,0.529,0,0.1,0,6,11.2,0.536,0.529,3.1,5.1,0.605,5.1,10.9,16,3,1.5,1.6,2.6,3.2,15
Jared Dudley,PHO,Jared Dudley PHO,PF,32,48,0,14.3,1,2.5,0.393,0.6,1.7,0.363,0.4,0.9,0.452,0.512,0.6,0.7,0.771,0.2,1.8,2,1.6,0.5,0.2,0.6,1.8,3.2
Kris Dunn,CHI,Kris Dunn CHI,PG,23,52,43,29.3,5.5,12.8,0.429,0.8,2.6,0.321,4.7,10.2,0.457,0.462,1.6,2.2,0.737,0.5,3.8,4.3,6,2,0.5,2.9,3.3,13.4
Kevin Durant,GSW,Kevin Durant GSW,SF,29,68,68,34.2,9.3,18,0.516,2.5,6.1,0.419,6.7,11.9,0.565,0.586,5.3,5.9,0.889,0.5,6.4,6.8,5.4,0.7,1.8,3,2,26.4
Jarell Eddie,TOT,Jarell Eddie TOT,SF,26,3,0,3,0,0.7,0,0,0.7,0,0,0,,0,0,0,,0,0.3,0.3,0,0.3,0,0,0,0
Jarell Eddie,BOS,Jarell Eddie BOS,SF,26,2,0,3,0,0.5,0,0,0.5,0,0,0,,0,0,0,,0,0.5,0.5,0,0.5,0,0,0,0
Jarell Eddie,CHI,Jarell Eddie CHI,SF,26,1,0,3,0,1,0,0,1,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0
Henry Ellenson,DET,Henry Ellenson DET,PF,21,38,0,8.7,1.4,3.8,0.363,0.5,1.6,0.333,0.9,2.3,0.384,0.432,0.7,0.8,0.862,0.3,1.9,2.1,0.5,0.1,0,0.5,0.6,4
Wayne Ellington,MIA,Wayne Ellington MIA,SG,30,77,2,26.5,3.7,9.1,0.407,2.9,7.5,0.392,0.8,1.6,0.479,0.569,0.9,1,0.859,0.3,2.5,2.8,1,0.7,0.1,0.7,1.2,11.2
Joel Embiid,PHI,Joel Embiid PHI,C,23,63,63,30.3,8.1,16.8,0.483,1,3.4,0.308,7,13.4,0.527,0.514,5.7,7.4,0.769,2.3,8.7,11,3.2,0.6,1.8,3.7,3.3,22.9
James Ennis,TOT,James Ennis TOT,SF,27,72,22,22.3,2.5,5.3,0.474,0.7,2.1,0.333,1.8,3.2,0.567,0.54,1.3,1.6,0.836,1,2.1,3.1,1,0.7,0.3,0.8,1.9,7.1
Erik McCree,UTA,Erik McCree UTA,SF,24,4,0,2,0,0.5,0,0,0.3,0,0,0.3,0,0,0,0,,0,0.3,0.3,0,0.3,0,0.3,0,0
James Ennis,DET,James Ennis DET,SF,27,27,8,20.4,2.7,6,0.457,0.8,2.6,0.304,2,3.4,0.57,0.522,1.2,1.6,0.767,0.7,1.7,2.5,0.8,0.6,0.2,0.7,2,7.5
Tyler Ennis,LAL,Tyler Ennis LAL,PG,23,54,11,12.6,1.7,4.1,0.42,0.3,1,0.25,1.5,3.1,0.476,0.451,0.4,0.5,0.759,0.4,1.4,1.8,1.9,0.6,0.2,0.7,1.4,4.1
Jawun Evans,LAC,Jawun Evans LAC,PG,21,48,4,16.2,1.9,5.3,0.352,0.3,1.1,0.278,1.5,4.1,0.372,0.381,0.8,1,0.776,0.2,1.6,1.8,2.1,0.8,0.1,0.9,2,4.8
Jeremy Evans,ATL,Jeremy Evans ATL,SF,30,1,0,5,1,1,1,0,0,,1,1,1,1,0,0,,1,0,1,0,0,0,1,1,2
Tyreke Evans,MEM,Tyreke Evans MEM,PG,28,52,32,30.9,7,15.6,0.452,2.2,5.5,0.399,4.8,10.1,0.482,0.523,3.2,4,0.785,0.8,4.3,5.1,5.2,1.1,0.3,2.3,1.8,19.4
Dante Exum,UTA,Dante Exum UTA,PG,22,14,0,16.8,3,6.2,0.483,0.4,1.3,0.278,2.6,4.9,0.536,0.511,1.8,2.2,0.806,0.3,1.6,1.9,3.1,0.6,0.2,1.4,1.4,8.1
Kenneth Faried,DEN,Kenneth Faried DEN,PF,28,32,7,14.4,2.4,4.6,0.514,0,0,0,2.4,4.6,0.517,0.514,1.1,1.6,0.706,2.1,2.7,4.8,0.6,0.4,0.4,0.7,1.6,5.9
Derrick Favors,UTA,Derrick Favors UTA,C,26,77,77,28,5.1,9.1,0.563,0.2,0.8,0.222,4.9,8.3,0.596,0.573,1.8,2.8,0.651,2.6,4.6,7.2,1.3,0.7,1.1,1.1,2.1,12.3
Kay Felder,TOT,Kay Felder TOT,PG,22,16,0,8.8,1.3,4.4,0.3,0.3,1.2,0.211,1.1,3.2,0.333,0.329,0.7,0.8,0.917,0.2,0.9,1.1,1.3,0.2,0.1,1,0.7,3.6
Kay Felder,CHI,Kay Felder CHI,PG,22,14,0,9.6,1.4,4.7,0.303,0.3,1.3,0.222,1.1,3.4,0.333,0.333,0.8,0.9,0.917,0.1,0.9,1,1.4,0.2,0.1,1.1,0.8,3.9
Nigel Hayes,SAC,Nigel Hayes SAC,SF,23,5,0,21,1.6,5.6,0.286,0.4,2.4,0.167,1.2,3.2,0.375,0.321,0,0.4,0,0.8,3.6,4.4,0.8,0.4,0.6,0.2,1.6,3.6
Cristiano Felicio,CHI,Cristiano Felicio CHI,C,25,55,16,17.8,2.3,3.9,0.591,0,0,0,2.3,3.9,0.596,0.591,1,1.5,0.667,1.5,2.7,4.2,1,0.3,0.2,1,1.9,5.6
Raymond Felton,OKC,Raymond Felton OKC,PG,33,82,2,16.6,2.7,6.7,0.406,1,2.8,0.352,1.7,3.9,0.444,0.479,0.4,0.5,0.818,0.3,1.6,1.9,2.5,0.6,0.2,0.9,1.1,6.9
Terrance Ferguson,OKC,Terrance Ferguson OKC,SG,19,61,12,12.5,1.1,2.8,0.414,0.7,2,0.333,0.5,0.8,0.612,0.533,0.1,0.2,0.9,0.3,0.5,0.8,0.3,0.4,0.2,0.2,1.4,3.1
Yogi Ferrell,DAL,Yogi Ferrell DAL,SG,24,82,21,27.8,3.8,8.9,0.426,1.6,4.4,0.373,2.2,4.5,0.477,0.518,1,1.3,0.796,0.3,2.7,3,2.5,0.8,0.1,1,1.9,10.2
Dorian Finney-Smith,DAL,Dorian Finney-Smith DAL,PF,24,21,13,21.3,2.2,5.8,0.38,1,3.2,0.299,1.2,2.6,0.481,0.463,0.5,0.7,0.733,1,2.5,3.6,1.2,0.5,0.2,1,2,5.9
Bryn Forbes,SAS,Bryn Forbes SAS,SG,24,80,12,19,2.6,6.2,0.421,1.1,2.9,0.39,1.5,3.4,0.446,0.51,0.6,0.9,0.667,0.2,1.2,1.4,1,0.4,0,0.5,1.4,6.9
Evan Fournier,ORL,Evan Fournier ORL,SF,25,57,57,32.2,6.5,14.1,0.459,2.2,5.9,0.379,4.2,8.2,0.516,0.538,2.6,3,0.867,0.4,2.8,3.2,2.9,0.8,0.3,1.7,2.4,17.8
De'Aaron Fox,SAC,De'Aaron Fox SAC,PG,20,73,60,27.8,4.5,10.9,0.412,0.6,2.1,0.307,3.8,8.8,0.436,0.441,1.9,2.7,0.723,0.5,2.3,2.8,4.4,1,0.3,2.4,2.2,11.6
Tim Frazier,WAS,Tim Frazier WAS,PG,27,59,11,14.2,1.2,2.9,0.395,0.3,0.9,0.304,0.9,2,0.44,0.445,0.4,0.5,0.767,0.3,1.6,1.9,3.3,0.8,0.1,1,1.6,3
Channing Frye,TOT,Channing Frye TOT,C,34,53,1,13.1,2,4,0.491,0.7,2.2,0.339,1.2,1.8,0.67,0.583,0.3,0.4,0.895,0.2,2.3,2.5,0.7,0.3,0.2,0.4,1.3,5
R.J. Hunter,HOU,R.J. Hunter HOU,SG,24,5,1,9,1.4,4,0.35,0.6,2.8,0.214,0.8,1.2,0.667,0.425,0.4,0.4,1,0,1,1,0.6,0.6,0,0.4,1.4,3.8
Channing Frye,LAL,Channing Frye LAL,C,34,9,0,16.7,2.2,4.8,0.465,1,2.8,0.36,1.2,2,0.611,0.57,0.3,0.4,0.75,0.2,2.6,2.8,1.1,0.1,0.1,0.4,1.7,5.8
Markelle Fultz,PHI,Markelle Fultz PHI,SG,19,14,0,18.1,3.2,7.9,0.405,0,0.1,0,3.2,7.9,0.409,0.405,0.7,1.5,0.476,0.8,2.3,3.1,3.8,0.9,0.3,1.2,1.6,7.1
Danilo Gallinari,LAC,Danilo Gallinari LAC,SF,29,21,21,32,4.9,12.2,0.398,1.7,5.3,0.324,3.1,6.9,0.455,0.469,3.9,4.1,0.931,0.4,4.4,4.8,2,0.6,0.5,1.2,1.4,15.3
Langston Galloway,DET,Langston Galloway DET,SG,26,58,2,14.9,2.2,5.9,0.371,1.3,3.8,0.344,0.9,2.1,0.418,0.481,0.6,0.7,0.805,0.2,1.4,1.6,1,0.6,0.1,0.3,0.7,6.2
Marc Gasol,MEM,Marc Gasol MEM,C,33,73,73,33,5.9,14.2,0.42,1.5,4.4,0.341,4.5,9.8,0.456,0.473,3.8,4.6,0.834,1.1,7,8.1,4.2,0.7,1.4,2.7,2.5,17.2
Pau Gasol,SAS,Pau Gasol SAS,C,37,77,63,23.5,3.7,8.1,0.458,0.6,1.6,0.358,3.2,6.6,0.481,0.492,2.1,2.7,0.756,1.7,6.4,8,3.1,0.3,1,1.4,1.6,10.1
Rudy Gay,SAS,Rudy Gay SAS,PF,31,57,6,21.6,4.4,9.4,0.471,0.6,2.1,0.314,3.8,7.4,0.516,0.506,2,2.5,0.772,1.3,3.8,5.1,1.3,0.8,0.7,1.4,1.7,11.5
Paul George,OKC,Paul George OKC,SF,27,79,79,36.6,7.3,17,0.43,3.1,7.7,0.401,4.2,9.3,0.454,0.521,4.3,5.2,0.822,0.9,4.7,5.7,3.3,2,0.5,2.7,2.9,21.9
Marcus Georges-Hunt,MIN,Marcus Georges-Hunt MIN,SG,23,42,0,5.3,0.5,1.1,0.438,0.1,0.4,0.267,0.4,0.8,0.515,0.479,0.3,0.5,0.619,0.2,0.2,0.4,0.2,0.1,0,0.1,0.8,1.4
Greg Monroe,MIL,Greg Monroe MIL,C,27,5,0,15.8,3.2,6.6,0.485,0,0,,3.2,6.6,0.485,0.485,0.4,0.8,0.5,1.2,3.8,5,1,0,0,1.2,1.4,6.8
Taj Gibson,MIN,Taj Gibson MIN,PF,32,82,82,33.2,5.2,9,0.577,0.1,0.4,0.2,5.1,8.6,0.595,0.581,1.7,2.3,0.768,2.4,4.8,7.1,1.2,0.8,0.7,1.1,2.7,12.2
Manu Ginobili,SAS,Manu Ginobili SAS,SG,40,65,0,20,3.1,7.1,0.434,1,3,0.333,2.1,4.2,0.506,0.503,1.7,2,0.84,0.3,1.9,2.2,2.5,0.7,0.2,1.6,1.9,8.9
Rudy Gobert,UTA,Rudy Gobert UTA,C,25,56,56,32.4,4.9,7.9,0.622,0,0,,4.9,7.9,0.622,0.622,3.6,5.3,0.682,2.9,7.8,10.7,1.4,0.8,2.3,1.9,2.7,13.5
Aaron Gordon,ORL,Aaron Gordon ORL,PF,22,58,57,32.9,6.5,14.9,0.434,2,5.9,0.336,4.5,9,0.497,0.5,2.7,3.9,0.698,1.5,6.4,7.9,2.3,1,0.8,1.8,1.9,17.6
Eric Gordon,HOU,Eric Gordon HOU,SG,29,69,30,31.2,6,14.1,0.428,3.2,8.8,0.359,2.9,5.2,0.544,0.54,2.8,3.5,0.809,0.4,2.1,2.5,2.2,0.6,0.4,1.9,1.7,18
Marcin Gortat,WAS,Marcin Gortat WAS,C,33,82,82,25.3,3.5,6.8,0.518,0,0,,3.5,6.8,0.518,0.518,1.3,2,0.675,2.2,5.4,7.6,1.8,0.5,0.7,1.2,2.1,8.4
Treveon Graham,CHO,Treveon Graham CHO,SG,24,63,2,16.7,1.5,3.5,0.434,0.6,1.5,0.412,0.9,2,0.452,0.525,0.7,0.9,0.695,0.7,1.3,1.9,0.9,0.5,0,0.4,1.7,4.3
Jerami Grant,OKC,Jerami Grant OKC,PF,23,81,1,20.3,3,5.6,0.535,0.4,1.4,0.291,2.6,4.3,0.613,0.57,2,3,0.675,1.1,2.9,3.9,0.7,0.4,1,0.7,1.9,8.4
Jerian Grant,CHI,Jerian Grant CHI,PG,25,74,26,22.8,2.8,6.8,0.416,0.8,2.5,0.326,2,4.3,0.468,0.476,1.9,2.5,0.745,0.4,1.9,2.3,4.6,0.9,0.1,1.2,1.8,8.4
Josh Gray,PHO,Josh Gray PHO,PG,24,5,0,17.2,2.2,8.2,0.268,0.6,2.6,0.231,1.6,5.6,0.286,0.305,1.4,2.2,0.636,0.4,1.6,2,2.4,1.6,0.4,1.4,1.6,6.4
Danny Green,SAS,Danny Green SAS,SG,30,70,60,25.6,3.1,8,0.387,1.7,4.6,0.363,1.4,3.4,0.419,0.49,0.7,0.9,0.769,0.6,3,3.6,1.6,0.9,1.1,1.1,1.7,8.6
Draymond Green,GSW,Draymond Green GSW,PF,27,70,70,32.7,4,8.8,0.454,1.1,3.7,0.301,2.9,5.2,0.562,0.516,1.9,2.5,0.775,1.1,6.6,7.6,7.3,1.4,1.3,2.9,2.6,11
